cd,name,gender,age,div,salary
7437,Anne,F,30,DE,3000
16258,Mary,F,35,BE,4000
7231,Rose,M,35,DA,3000
38445,Anne,F,30,DE,3000
25588,Mary,F,35,BE,4000
40586,Williams,M,30,DE,2500
35771,James,M,30,FE,3500
25947,Anne,F,30,DE,3000
5408,Williams,M,30,DE,2500
30600,Smith,M,40,DA,4000
24325,Rose,M,35,DA,3000
41013,Anne,F,30,DE,3000
38195,James,M,30,FE,3500
9732,Smith,M,40,DA,4000
16786,Mary,F,35,BE,4000
1428,Smith,M,40,DA,4000
1290,Smith,M,40,DA,4000
36795,Anne,F,30,DE,3000
25924,Mary,F,35,BE,4000
42101,James,M,30,FE,3500
10021,Rose,M,35,DA,3000
15077,James,M,30,FE,3500
24405,Anne,F,30,DE,3000
38150,Williams,M,30,DE,2500
14544,Smith,M,40,DA,4000
33079,Rose,M,35,DA,3000
19448,Williams,M,30,DE,2500
44565,Anne,F,30,DE,3000
16634,Williams,M,30,DE,2500
6639,Anne,F,30,DE,3000
41446,Mary,F,35,BE,4000
45855,Anne,F,30,DE,3000
6337,Rose,M,35,DA,3000
36096,Smith,M,40,DA,4000
30474,Smith,M,40,DA,4000
31434,Smith,M,40,DA,4000
791,James,M,30,FE,3500
40792,Mary,F,35,BE,4000
10339,Rose,M,35,DA,3000
17351,James,M,30,FE,3500
42847,Rose,M,35,DA,3000
5254,Mary,F,35,BE,4000
7157,James,M,30,FE,3500
48803,James,M,30,FE,3500
7918,Mary,F,35,BE,4000
16868,Williams,M,30,DE,2500
9481,Rose,M,35,DA,3000
2129,James,M,30,FE,3500
35323,Rose,M,35,DA,3000
39812,Williams,M,30,DE,2500
5848,Mary,F,35,BE,4000
17999,James,M,30,FE,3500
2121,Anne,F,30,DE,3000
5436,Smith,M,40,DA,4000
807,Anne,F,30,DE,3000
15264,Smith,M,40,DA,4000
33119,James,M,30,FE,3500
11006,Williams,M,30,DE,2500
21930,Smith,M,40,DA,4000
31076,Williams,M,30,DE,2500
17370,Smith,M,40,DA,4000
5612,Williams,M,30,DE,2500
1432,Mary,F,35,BE,4000
17461,Rose,M,35,DA,3000
29464,Mary,F,35,BE,4000
11478,Smith,M,40,DA,4000
513,Anne,F,30,DE,3000
41170,Mary,F,35,BE,4000
1812,Smith,M,40,DA,4000
3168,Smith,M,40,DA,4000
46856,Williams,M,30,DE,2500
20756,Williams,M,30,DE,2500
17877,Anne,F,30,DE,3000
9331,Rose,M,35,DA,3000
18622,Mary,F,35,BE,4000
17790,Smith,M,40,DA,4000
41339,James,M,30,FE,3500
36094,Mary,F,35,BE,4000
27702,Smith,M,40,DA,4000
43188,Smith,M,40,DA,4000
1532,Williams,M,30,DE,2500
13875,Anne,F,30,DE,3000
14797,Rose,M,35,DA,3000
18474,Smith,M,40,DA,4000
16237,Rose,M,35,DA,3000
36517,Rose,M,35,DA,3000
15974,Williams,M,30,DE,2500
19899,Anne,F,30,DE,3000
28761,Anne,F,30,DE,3000
12491,James,M,30,FE,3500
20145,Anne,F,30,DE,3000
46396,Mary,F,35,BE,4000
8946,Smith,M,40,DA,4000
48326,Williams,M,30,DE,2500
2394,Smith,M,40,DA,4000
19109,James,M,30,FE,3500
9671,James,M,30,FE,3500
27224,Williams,M,30,DE,2500
8143,Rose,M,35,DA,3000
29331,Anne,F,30,DE,3000
3573,Anne,F,30,DE,3000
27604,Mary,F,35,BE,4000
7538,Williams,M,30,DE,2500
2613,Anne,F,30,DE,3000
12148,Mary,F,35,BE,4000
41483,James,M,30,FE,3500
20811,Anne,F,30,DE,3000
48865,Rose,M,35,DA,3000
41402,Williams,M,30,DE,2500
9435,Anne,F,30,DE,3000
33077,James,M,30,FE,3500
42037,Rose,M,35,DA,3000
35605,Rose,M,35,DA,3000
30424,Mary,F,35,BE,4000
32647,Rose,M,35,DA,3000
4387,Rose,M,35,DA,3000
20122,Mary,F,35,BE,4000
8566,Mary,F,35,BE,4000
47738,Williams,M,30,DE,2500
2896,Mary,F,35,BE,4000
35621,James,M,30,FE,3500
21398,Williams,M,30,DE,2500
11050,Mary,F,35,BE,4000
6181,Rose,M,35,DA,3000
37257,Anne,F,30,DE,3000
3895,Rose,M,35,DA,3000
3609,Anne,F,30,DE,3000
21906,Smith,M,40,DA,4000
40531,Rose,M,35,DA,3000
24186,Smith,M,40,DA,4000
33651,Anne,F,30,DE,3000
37943,James,M,30,FE,3500
12054,Smith,M,40,DA,4000
13324,Mary,F,35,BE,4000
15153,Anne,F,30,DE,3000
16019,James,M,30,FE,3500
25520,Williams,M,30,DE,2500
22048,Mary,F,35,BE,4000
49064,Williams,M,30,DE,2500
28974,Smith,M,40,DA,4000
38064,Smith,M,40,DA,4000
31652,Williams,M,30,DE,2500
16456,Mary,F,35,BE,4000
2332,Mary,F,35,BE,4000
15539,James,M,30,FE,3500
46210,Mary,F,35,BE,4000
42664,Mary,F,35,BE,4000
8174,Williams,M,30,DE,2500
45244,Mary,F,35,BE,4000
27669,Anne,F,30,DE,3000
43218,Smith,M,40,DA,4000
21031,Rose,M,35,DA,3000
14552,Williams,M,30,DE,2500
9994,Mary,F,35,BE,4000
6437,James,M,30,FE,3500
27168,Smith,M,40,DA,4000
24230,Williams,M,30,DE,2500
32733,Anne,F,30,DE,3000
26963,James,M,30,FE,3500
