cd,name,gender,age,div,salary
37809,Anne,F,30,DE,3000
19074,Smith,M,40,DA,4000
35132,Williams,M,30,DE,2500
4222,Mary,F,35,BE,4000
2450,Williams,M,30,DE,2500
10427,James,M,30,FE,3500
14269,Rose,M,35,DA,3000
17946,Smith,M,40,DA,4000
3862,Mary,F,35,BE,4000
20344,Mary,F,35,BE,4000
31160,Williams,M,30,DE,2500
8502,Smith,M,40,DA,4000
26383,Rose,M,35,DA,3000
36920,Williams,M,30,DE,2500
13996,Mary,F,35,BE,4000
26926,Mary,F,35,BE,4000
35170,Mary,F,35,BE,4000
30759,Anne,F,30,DE,3000
18850,Mary,F,35,BE,4000
11841,Anne,F,30,DE,3000
3401,James,M,30,FE,3500
26682,Smith,M,40,DA,4000
18657,Anne,F,30,DE,3000
30696,Smith,M,40,DA,4000
37346,Williams,M,30,DE,2500
7364,Williams,M,30,DE,2500
23577,Anne,F,30,DE,3000
24225,Anne,F,30,DE,3000
26087,James,M,30,FE,3500
24970,Mary,F,35,BE,4000
21207,Anne,F,30,DE,3000
26524,Mary,F,35,BE,4000
9556,Mary,F,35,BE,4000
29397,Anne,F,30,DE,3000
1073,James,M,30,FE,3500
17588,Williams,M,30,DE,2500
28627,Rose,M,35,DA,3000
6220,Mary,F,35,BE,4000
2023,Rose,M,35,DA,3000
14226,Smith,M,40,DA,4000
7251,Anne,F,30,DE,3000
35215,Rose,M,35,DA,3000
16602,Smith,M,40,DA,4000
22896,Smith,M,40,DA,4000
19288,Mary,F,35,BE,4000
12155,James,M,30,FE,3500
1776,Smith,M,40,DA,4000
21177,Anne,F,30,DE,3000
2187,Anne,F,30,DE,3000
632,Williams,M,30,DE,2500
4642,Mary,F,35,BE,4000
10128,Smith,M,40,DA,4000
19384,Mary,F,35,BE,4000
9820,Mary,F,35,BE,4000
33424,Mary,F,35,BE,4000
35587,Rose,M,35,DA,3000
32666,Williams,M,30,DE,2500
39636,Smith,M,40,DA,4000
832,Mary,F,35,BE,4000
12599,James,M,30,FE,3500
24149,James,M,30,FE,3500
8049,Anne,F,30,DE,3000
8467,Rose,M,35,DA,3000
8066,Williams,M,30,DE,2500
29173,Rose,M,35,DA,3000
11263,Rose,M,35,DA,3000
26725,Rose,M,35,DA,3000
18740,Williams,M,30,DE,2500
16115,James,M,30,FE,3500
12535,Rose,M,35,DA,3000
38980,Mary,F,35,BE,4000
2782,Mary,F,35,BE,4000
19113,Anne,F,30,DE,3000
20553,Anne,F,30,DE,3000
27397,Rose,M,35,DA,3000
1368,Smith,M,40,DA,4000
27064,Mary,F,35,BE,4000
12282,Smith,M,40,DA,4000
27910,Mary,F,35,BE,4000
4636,Mary,F,35,BE,4000
22424,Williams,M,30,DE,2500
17234,Williams,M,30,DE,2500
34514,Williams,M,30,DE,2500
14596,Mary,F,35,BE,4000
6492,Smith,M,40,DA,4000
14868,Smith,M,40,DA,4000
6296,Williams,M,30,DE,2500
5895,Anne,F,30,DE,3000
6263,James,M,30,FE,3500
13011,Anne,F,30,DE,3000
21280,Mary,F,35,BE,4000
3721,Rose,M,35,DA,3000
33334,Mary,F,35,BE,4000
18321,Anne,F,30,DE,3000
18329,James,M,30,FE,3500
15326,Williams,M,30,DE,2500
38319,Anne,F,30,DE,3000
3010,Mary,F,35,BE,4000
17917,Rose,M,35,DA,3000
7543,Rose,M,35,DA,3000
26512,Mary,F,35,BE,4000
12968,Williams,M,30,DE,2500
33986,Williams,M,30,DE,2500
13940,Williams,M,30,DE,2500
5705,James,M,30,FE,3500
